name,warehouse_amount,warehouse_cost,category,start_amount_20221,start_cost_20221,plus_amount_20221,plus_cost_20221,minus_amount_2021,minus_cost_20221,end_amount_20221,end_cost_20221,Code,Measure,start_amount_20222,start_cost_20222,plus_amount_20222,plus_cost_20222,minus_amount_20222,minus_cost_20222,end_amount_20222,end_cost_20222,start_amount_20223,start_cost_20223,plus_amount_20223,plus_cost_20223,minus_amount_2023,minus_cost_20223,end_amount_20223,end_cost_20223,start_amount_20224,start_cost_20224,plus_amount_20224,plus_cost_20224,minus_amount_2024,minus_cost_20224,end_amount_20224,end_cost_20224
Доска магнитномаркерная 100х150,1,0.0,101.36,1.0,17718.88,0.0,0.0,0.0,0.0,1.0,17718.88,02-0000000017,ед,1.0,17718.88,0.0,0.0,0.0,0.0,1.0,17718.88,1.0,17718.88,0.0,0.0,0.0,0.0,1.0,17718.88,1.0,17718.88,0.0,0.0,0.0,0.0,1.0,17718.88
Доска магнитномаркерная 1элементная 100x150 МетПроф,3,11075.16,21.36,3.0,11075.16,0.0,0.0,0.0,0.0,3.0,11075.16,02-0000000017,ед,3.0,11075.16,0.0,0.0,0.0,0.0,3.0,11075.16,3.0,11075.16,0.0,0.0,0.0,0.0,3.0,11075.16,3.0,11075.16,0.0,0.0,0.0,0.0,3.0,11075.16
Доска магнитномаркерная 1элементная 60х90 МетПроф,2,2053.04,21.36,2.0,2053.04,0.0,0.0,0.0,0.0,2.0,2053.04,02-0000000017,ед,2.0,2053.04,0.0,0.0,0.0,0.0,2.0,2053.04,2.0,2053.04,0.0,0.0,0.0,0.0,2.0,2053.04,2.0,2053.04,0.0,0.0,0.0,0.0,2.0,2053.04
Доска магнитномаркерная Attache Economy 90x120 метбелпроф,3,5449.5,21.36,3.0,5449.5,0.0,0.0,0.0,0.0,3.0,5449.5,02-0000000017,ед,3.0,5449.5,0.0,0.0,0.0,0.0,3.0,5449.5,3.0,5449.5,0.0,0.0,0.0,0.0,3.0,5449.5,3.0,5449.5,0.0,0.0,0.0,0.0,3.0,5449.5
Доска магнитномаркерная BOARDSYS двусторонняя,1,0.0,101.36,1.0,11461.25,0.0,0.0,0.0,0.0,1.0,11461.25,02-0000000017,ед,1.0,11461.25,0.0,0.0,0.0,0.0,1.0,11461.25,1.0,11461.25,0.0,0.0,0.0,0.0,1.0,11461.25,1.0,11461.25,0.0,0.0,0.0,0.0,1.0,11461.25
Доска магнитномаркерная BOARDSYS двухсторонняя 100х150,1,0.0,101.36,1.0,14358.11,0.0,0.0,0.0,0.0,1.0,14358.11,02-0000000017,ед,1.0,14358.11,0.0,0.0,0.0,0.0,1.0,14358.11,1.0,14358.11,0.0,0.0,0.0,0.0,1.0,14358.11,1.0,14358.11,0.0,0.0,0.0,0.0,1.0,14358.11
Доска магнитномаркерная BRAUBERG 120х240,1,0.0,101.36,1.0,12751.17,0.0,0.0,0.0,0.0,1.0,12751.17,02-0000000017,ед,1.0,12751.17,0.0,0.0,0.0,0.0,1.0,12751.17,1.0,12751.17,0.0,0.0,0.0,0.0,1.0,12751.17,1.0,12751.17,0.0,0.0,0.0,0.0,1.0,12751.17
Доска магнитномаркерная BRAUBERG PREMIUM,18,114699.74,101.36,18.0,145550.98,0.0,0.0,0.0,0.0,18.0,145550.98,02-0000000017,ед,18.0,145550.98,0.0,0.0,0.0,0.0,18.0,145550.98,18.0,145550.98,0.0,0.0,0.0,0.0,18.0,145550.98,18.0,145550.98,0.0,0.0,0.0,0.0,18.0,145550.98
Доска магнитномаркерная BRAUBERG Premium,2,6426.61,101.36,2.0,17014.21,0.0,0.0,0.0,0.0,2.0,17014.21,02-0000000017,ед,2.0,17014.21,0.0,0.0,0.0,0.0,2.0,17014.21,2.0,17014.21,0.0,0.0,0.0,0.0,2.0,17014.21,2.0,17014.21,0.0,0.0,0.0,0.0,2.0,17014.21
Доска магнитномаркерная BRAUBERG двухстор90х120,1,0.0,101.36,1.0,13171.34,0.0,0.0,0.0,0.0,1.0,13171.34,02-0000000017,ед,1.0,13171.34,0.0,0.0,0.0,0.0,1.0,13171.34,1.0,13171.34,0.0,0.0,0.0,0.0,1.0,13171.34,1.0,13171.34,0.0,0.0,0.0,0.0,1.0,13171.34
Доска магнитномаркерная BRAUBERG стандарт,12,40969.439999999995,21.36,12.0,40969.439999999995,0.0,0.0,0.0,0.0,12.0,40969.439999999995,02-0000000017,ед,12.0,40969.439999999995,0.0,0.0,0.0,0.0,12.0,40969.439999999995,12.0,40969.439999999995,0.0,0.0,0.0,0.0,12.0,40969.439999999995,12.0,40969.439999999995,0.0,0.0,0.0,0.0,12.0,40969.439999999995
Доска магнитномаркерная BRAUBERG стандарт 90х120,1,0.0,101.36,1.0,6123.2,0.0,0.0,0.0,0.0,1.0,6123.2,02-0000000017,ед,1.0,6123.2,0.0,0.0,0.0,0.0,1.0,6123.2,1.0,6123.2,0.0,0.0,0.0,0.0,1.0,6123.2,1.0,6123.2,0.0,0.0,0.0,0.0,1.0,6123.2
Доска магнитномаркерная Berlingo Premium,28,127067.32,21.36,28.0,127067.32,0.0,0.0,0.0,0.0,28.0,127067.32,02-0000000017,ед,28.0,127067.32,0.0,0.0,0.0,0.0,28.0,127067.32,28.0,127067.32,0.0,0.0,0.0,0.0,28.0,127067.32,28.0,127067.32,0.0,0.0,0.0,0.0,28.0,127067.32
Доска магнитномаркерная NOBO EURO 900х1200,1,0.0,101.36,1.0,13405.39,0.0,0.0,0.0,0.0,1.0,13405.39,02-0000000017,ед,1.0,13405.39,0.0,0.0,0.0,0.0,1.0,13405.39,1.0,13405.39,0.0,0.0,0.0,0.0,1.0,13405.39,1.0,13405.39,0.0,0.0,0.0,0.0,1.0,13405.39
Доска магнитномаркерная NOBO EURO 912х1226,1,0.0,101.36,1.0,19760.28,0.0,0.0,0.0,0.0,1.0,19760.28,02-0000000017,ед,1.0,19760.28,0.0,0.0,0.0,0.0,1.0,19760.28,1.0,19760.28,0.0,0.0,0.0,0.0,1.0,19760.28,1.0,19760.28,0.0,0.0,0.0,0.0,1.0,19760.28
Доска магнитномаркерная информ 100 х150 см рама INDEX,3,0.0,101.36,3.0,9620.28,0.0,0.0,0.0,0.0,3.0,9620.28,02-0000000017,ед,3.0,9620.28,0.0,0.0,0.0,0.0,3.0,9620.28,3.0,9620.28,0.0,0.0,0.0,0.0,3.0,9620.28,3.0,9620.28,0.0,0.0,0.0,0.0,3.0,9620.28
Доска магнитномаркерная информ 100 х180 см рама EasyGrip INDEX,1,0.0,101.36,1.0,5356.81,0.0,0.0,0.0,0.0,1.0,5356.81,02-0000000017,ед,1.0,5356.81,0.0,0.0,0.0,0.0,1.0,5356.81,1.0,5356.81,0.0,0.0,0.0,0.0,1.0,5356.81,1.0,5356.81,0.0,0.0,0.0,0.0,1.0,5356.81
Доска магнитномаркерная информ вращающ 90х120 см,3,0.0,101.36,3.0,30075.840000000004,0.0,0.0,0.0,0.0,3.0,30075.840000000004,02-0000000017,ед,3.0,30075.840000000004,0.0,0.0,0.0,0.0,3.0,30075.840000000004,3.0,30075.840000000004,0.0,0.0,0.0,0.0,3.0,30075.840000000004,3.0,30075.840000000004,0.0,0.0,0.0,0.0,3.0,30075.840000000004
Доска магнитномаркерная информ вращающ 90х120 см INDEX,6,0.0,101.36,6.0,41643.54,0.0,0.0,0.0,0.0,6.0,41643.54,02-0000000017,ед,6.0,41643.54,0.0,0.0,0.0,0.0,6.0,41643.54,6.0,41643.54,0.0,0.0,0.0,0.0,6.0,41643.54,6.0,41643.54,0.0,0.0,0.0,0.0,6.0,41643.54
Доска магнитномаркерная поворотная BOARDSYS 100х150,4,0.0,101.36,4.0,34490.4,0.0,0.0,0.0,0.0,4.0,34490.4,02-0000000017,ед,4.0,34490.4,0.0,0.0,0.0,0.0,4.0,34490.4,4.0,34490.4,0.0,0.0,0.0,0.0,4.0,34490.4,4.0,34490.4,0.0,0.0,0.0,0.0,4.0,34490.4
Доска магнитномаркетная BRAUBERG  Premium,2,0.0,101.36,2.0,27577.04,0.0,0.0,0.0,0.0,2.0,27577.04,02-0000000017,ед,2.0,27577.04,0.0,0.0,0.0,0.0,2.0,27577.04,2.0,27577.04,0.0,0.0,0.0,0.0,2.0,27577.04,2.0,27577.04,0.0,0.0,0.0,0.0,2.0,27577.04
Доска пробковая 45х60 Attache Economy деревян рама Россия,2,723.8,21.36,2.0,723.8,0.0,0.0,0.0,0.0,2.0,723.8,02-0000000017,ед,2.0,723.8,0.0,0.0,0.0,0.0,2.0,723.8,2.0,723.8,0.0,0.0,0.0,0.0,2.0,723.8,2.0,723.8,0.0,0.0,0.0,0.0,2.0,723.8
Доска пробковая 90х120 Attache Economy деревян рама Россия,2,1917.64,21.36,2.0,1917.64,0.0,0.0,0.0,0.0,2.0,1917.64,02-0000000017,ед,2.0,1917.64,0.0,0.0,0.0,0.0,2.0,1917.64,2.0,1917.64,0.0,0.0,0.0,0.0,2.0,1917.64,2.0,1917.64,0.0,0.0,0.0,0.0,2.0,1917.64
Доска пробковая BRAUBERG для объявлений,3,4953.75,21.36,3.0,4953.75,0.0,0.0,0.0,0.0,3.0,4953.75,02-0000000017,ед,3.0,4953.75,0.0,0.0,0.0,0.0,3.0,4953.75,3.0,4953.75,0.0,0.0,0.0,0.0,3.0,4953.75,3.0,4953.75,0.0,0.0,0.0,0.0,3.0,4953.75
Доскафлипчарт BRAUBERG магнитномаркерная,6,36798.3,21.36,6.0,36798.3,0.0,0.0,0.0,0.0,6.0,36798.3,02-0000000017,ед,6.0,36798.3,0.0,0.0,0.0,0.0,6.0,36798.3,6.0,36798.3,0.0,0.0,0.0,0.0,6.0,36798.3,6.0,36798.3,0.0,0.0,0.0,0.0,6.0,36798.3
Доскафлипчарт NOBO Barracudaмагнитномаркерная 100х70,1,0.0,101.36,1.0,12273.93,0.0,0.0,0.0,0.0,1.0,12273.93,02-0000000017,ед,1.0,12273.93,0.0,0.0,0.0,0.0,1.0,12273.93,1.0,12273.93,0.0,0.0,0.0,0.0,1.0,12273.93,1.0,12273.93,0.0,0.0,0.0,0.0,1.0,12273.93
Доскафлипчарт NOBO Shark магнитномаркерная 100х70,1,0.0,101.36,1.0,10852.94,0.0,0.0,0.0,0.0,1.0,10852.94,02-0000000017,ед,1.0,10852.94,0.0,0.0,0.0,0.0,1.0,10852.94,1.0,10852.94,0.0,0.0,0.0,0.0,1.0,10852.94,1.0,10852.94,0.0,0.0,0.0,0.0,1.0,10852.94
Доскафлипчарт магнитномаркерная,9,48190.43,21.36,9.0,48190.43,0.0,0.0,0.0,0.0,9.0,48190.43,02-0000000017,ед,9.0,48190.43,0.0,0.0,0.0,0.0,9.0,48190.43,9.0,48190.43,0.0,0.0,0.0,0.0,9.0,48190.43,9.0,48190.43,0.0,0.0,0.0,0.0,9.0,48190.43
Дырокол мощный 150 л,9,14613.210000000001,21.36,10.0,16236.9,0.0,0.0,0.0,0.0,10.0,16236.9,02-0000000017,ед,10.0,16236.9,0.0,0.0,0.0,0.0,10.0,16236.9,10.0,16236.9,0.0,0.0,0.0,0.0,10.0,16236.9,10.0,16236.9,0.0,0.0,1.0,1623.69,9.0,14613.21
Дырокол мощный до 150 листов шт,5,10377.6,21.36,5.0,10377.6,0.0,0.0,0.0,0.0,5.0,10377.6,02-0000000017,ед,5.0,10377.6,0.0,0.0,0.0,0.0,5.0,10377.6,5.0,10377.6,0.0,0.0,0.0,0.0,5.0,10377.6,5.0,10377.6,0.0,0.0,0.0,0.0,5.0,10377.6
Дюбель распорный Tchappai 840 TechKrep 111471,4,183.2,105.36,4.0,183.2,0.0,0.0,0.0,0.0,4.0,183.2,02-000000002147,шт,4.0,183.2,0.0,0.0,0.0,0.0,4.0,183.2,4.0,183.2,0.0,0.0,0.0,0.0,4.0,183.2,4.0,183.2,0.0,0.0,0.0,0.0,4.0,183.2
Дюбель распорный Чапай 640,5,277.75,105.36,5.0,277.75,0.0,0.0,0.0,0.0,5.0,277.75,02-000000002146,шт,5.0,277.75,0.0,0.0,0.0,0.0,5.0,277.75,5.0,277.75,0.0,0.0,0.0,0.0,5.0,277.75,5.0,277.75,0.0,0.0,0.0,0.0,5.0,277.75
Жалюзиплиссе,8,59793.0,101.36,9.0,86073.0,0.0,0.0,0.0,0.0,9.0,86073.0,02-0000000017,ед,9.0,86073.0,0.0,0.0,0.0,0.0,9.0,86073.0,9.0,86073.0,0.0,0.0,0.0,0.0,9.0,86073.0,9.0,86073.0,0.0,0.0,1.0,13140.0,8.0,72933.0
Журнальный столик,1,0.0,101.36,1.0,24014.19,0.0,0.0,0.0,0.0,1.0,24014.19,02-0000000017,ед,1.0,24014.19,0.0,0.0,0.0,0.0,1.0,24014.19,1.0,24014.19,0.0,0.0,0.0,0.0,1.0,24014.19,1.0,24014.19,0.0,0.0,0.0,0.0,1.0,24014.19
Заглушка,50,2360.0,21.36,50.0,2360.0,0.0,0.0,0.0,0.0,50.0,2360.0,02-0000000017,ед,50.0,2360.0,0.0,0.0,0.0,0.0,50.0,2360.0,50.0,2360.0,0.0,0.0,0.0,0.0,50.0,2360.0,50.0,2360.0,0.0,0.0,0.0,0.0,50.0,2360.0
Заклепка вытяжная 4,3,388.8,105.36,0.0,0.0,3.0,388.8,0.0,0.0,3.0,388.8,02-000000002975,упак,3.0,388.8,0.0,0.0,0.0,0.0,3.0,388.8,3.0,388.8,0.0,0.0,0.0,0.0,3.0,388.8,3.0,388.8,0.0,0.0,0.0,0.0,3.0,388.8
Заклепочник Gross 40405,1,2561.76,105.36,0.0,0.0,1.0,2561.76,0.0,0.0,1.0,2561.76,02-000000002974,упак,1.0,2561.76,0.0,0.0,0.0,0.0,1.0,2561.76,1.0,2561.76,0.0,0.0,0.0,0.0,1.0,2561.76,1.0,2561.76,0.0,0.0,0.0,0.0,1.0,2561.76
Зеркало,1,0.0,101.36,1.0,16623.24,0.0,0.0,0.0,0.0,1.0,16623.24,02-0000000017,ед,1.0,16623.24,0.0,0.0,0.0,0.0,1.0,16623.24,1.0,16623.24,0.0,0.0,0.0,0.0,1.0,16623.24,1.0,16623.24,0.0,0.0,0.0,0.0,1.0,16623.24
Зеркало 150х50 см,4,24749.48,21.36,4.0,24749.48,0.0,0.0,0.0,0.0,4.0,24749.48,02-0000000017,ед,4.0,24749.48,0.0,0.0,0.0,0.0,4.0,24749.48,4.0,24749.48,0.0,0.0,0.0,0.0,4.0,24749.48,4.0,24749.48,0.0,0.0,0.0,0.0,4.0,24749.48
Зеркало 170х70 см,1,6371.63,21.36,1.0,6371.63,0.0,0.0,0.0,0.0,1.0,6371.63,02-0000000017,ед,1.0,6371.63,0.0,0.0,0.0,0.0,1.0,6371.63,1.0,6371.63,0.0,0.0,0.0,0.0,1.0,6371.63,1.0,6371.63,0.0,0.0,0.0,0.0,1.0,6371.63
Зеркало 4 мм Silver серебро 1850х900,1,0.0,101.38,1.0,10981.0,0.0,0.0,0.0,0.0,1.0,10981.0,02-0000000017,ед,1.0,10981.0,0.0,0.0,0.0,0.0,1.0,10981.0,1.0,10981.0,0.0,0.0,0.0,0.0,1.0,10981.0,1.0,10981.0,0.0,0.0,0.0,0.0,1.0,10981.0
Зеркало 4 мм Silver серебро 2260х900,1,11323.0,101.38,1.0,11323.0,0.0,0.0,0.0,0.0,1.0,11323.0,02-0000000017,ед,1.0,11323.0,0.0,0.0,0.0,0.0,1.0,11323.0,1.0,11323.0,0.0,0.0,0.0,0.0,1.0,11323.0,1.0,11323.0,0.0,0.0,0.0,0.0,1.0,11323.0
Зеркало 4 мм Silver серебро 2360х900,1,0.0,101.38,1.0,7475.0,0.0,0.0,0.0,0.0,1.0,7475.0,02-0000000017,ед,1.0,7475.0,0.0,0.0,0.0,0.0,1.0,7475.0,1.0,7475.0,0.0,0.0,0.0,0.0,1.0,7475.0,1.0,7475.0,0.0,0.0,0.0,0.0,1.0,7475.0
Зеркало 4 мм Silver серебро 700х500,6,7920.0,21.36,6.0,7920.0,0.0,0.0,0.0,0.0,6.0,7920.0,02-0000000017,ед,6.0,7920.0,0.0,0.0,0.0,0.0,6.0,7920.0,6.0,7920.0,0.0,0.0,0.0,0.0,6.0,7920.0,6.0,7920.0,0.0,0.0,0.0,0.0,6.0,7920.0
Зеркало 6 мм Silver серебро 2000900,2,0.0,101.38,2.0,25200.0,0.0,0.0,0.0,0.0,2.0,25200.0,02-0000000017,ед,2.0,25200.0,0.0,0.0,0.0,0.0,2.0,25200.0,2.0,25200.0,0.0,0.0,0.0,0.0,2.0,25200.0,2.0,25200.0,0.0,0.0,0.0,0.0,2.0,25200.0
Зеркало 70х50 см,5,22608.0,21.36,5.0,22608.0,0.0,0.0,0.0,0.0,5.0,22608.0,02-0000000017,ед,5.0,22608.0,0.0,0.0,0.0,0.0,5.0,22608.0,5.0,22608.0,0.0,0.0,0.0,0.0,5.0,22608.0,5.0,22608.0,0.0,0.0,0.0,0.0,5.0,22608.0
Зеркало 80х70 см,5,26559.4,21.36,5.0,26559.4,0.0,0.0,0.0,0.0,5.0,26559.4,02-0000000017,ед,5.0,26559.4,0.0,0.0,0.0,0.0,5.0,26559.4,5.0,26559.4,0.0,0.0,0.0,0.0,5.0,26559.4,5.0,26559.4,0.0,0.0,0.0,0.0,5.0,26559.4
Зеркало настенное,6,15741.75,21.36,6.0,15741.75,0.0,0.0,0.0,0.0,6.0,15741.75,02-0000000017,ед,6.0,15741.75,0.0,0.0,0.0,0.0,6.0,15741.75,6.0,15741.75,0.0,0.0,0.0,0.0,6.0,15741.75,6.0,15741.75,0.0,0.0,0.0,0.0,6.0,15741.75
Зеркало настенное 1200 х800,1,0.0,101.36,1.0,4691.5,0.0,0.0,0.0,0.0,1.0,4691.5,02-0000000017,ед,1.0,4691.5,0.0,0.0,0.0,0.0,1.0,4691.5,1.0,4691.5,0.0,0.0,0.0,0.0,1.0,4691.5,1.0,4691.5,0.0,0.0,0.0,0.0,1.0,4691.5
Зеркало настенное 700 х800,5,0.0,101.36,5.0,17450.0,0.0,0.0,0.0,0.0,5.0,17450.0,02-0000000017,ед,5.0,17450.0,0.0,0.0,0.0,0.0,5.0,17450.0,5.0,17450.0,0.0,0.0,0.0,0.0,5.0,17450.0,5.0,17450.0,0.0,0.0,0.0,0.0,5.0,17450.0
Зеркало настенное 900 х800,1,0.0,101.36,1.0,3997.84,0.0,0.0,0.0,0.0,1.0,3997.84,02-0000000017,ед,1.0,3997.84,0.0,0.0,0.0,0.0,1.0,3997.84,1.0,3997.84,0.0,0.0,0.0,0.0,1.0,3997.84,1.0,3997.84,0.0,0.0,0.0,0.0,1.0,3997.84
Изготовление знака E0201 Направляющая стрелка 200200 мм на фотолюменисцентной пленке,6,660.0,105.36,6.0,660.0,0.0,0.0,0.0,0.0,6.0,660.0,02-000000002197,шт,6.0,660.0,0.0,0.0,0.0,0.0,6.0,660.0,6.0,660.0,0.0,0.0,0.0,0.0,6.0,660.0,6.0,660.0,0.0,0.0,0.0,0.0,6.0,660.0
Изготовление знака E22 Указатель выхода 300150 мм фотолюменисцентной пленке,3,372.0,105.36,3.0,372.0,0.0,0.0,0.0,0.0,3.0,372.0,02-000000002198,шт,3.0,372.0,0.0,0.0,0.0,0.0,3.0,372.0,3.0,372.0,0.0,0.0,0.0,0.0,3.0,372.0,3.0,372.0,0.0,0.0,0.0,0.0,3.0,372.0
Изготовление знака F04 Огнетушитель 100100 мм на фотолюминесцентной пленке,14,392.0,105.36,14.0,392.0,0.0,0.0,0.0,0.0,14.0,392.0,02-000000002195,шт,14.0,392.0,0.0,0.0,0.0,0.0,14.0,392.0,14.0,392.0,0.0,0.0,0.0,0.0,14.0,392.0,14.0,392.0,0.0,0.0,0.0,0.0,14.0,392.0
Изготовление знака F10 Рожарный извещатель 100100 мм на фотолюминесцентной пленке,31,868.0,105.36,31.0,868.0,0.0,0.0,0.0,0.0,31.0,868.0,02-000000002196,шт,31.0,868.0,0.0,0.0,0.0,0.0,31.0,868.0,31.0,868.0,0.0,0.0,0.0,0.0,31.0,868.0,31.0,868.0,0.0,0.0,0.0,0.0,31.0,868.0
Изготовление знака на самоклеющейся пленке,150,4200.0,105.36,150.0,4200.0,0.0,0.0,0.0,0.0,150.0,4200.0,02-000000002200,шт,150.0,4200.0,0.0,0.0,0.0,0.0,150.0,4200.0,150.0,4200.0,0.0,0.0,0.0,0.0,150.0,4200.0,150.0,4200.0,0.0,0.0,0.0,0.0,150.0,4200.0
Изготовление металлической цифры 0,55,6238.65,105.36,95.0,10775.85,0.0,0.0,39.0,4423.77,56.0,6352.08,02-000000002585,шт,56.0,6352.08,0.0,0.0,1.0,113.43,55.0,6238.65,55.0,6238.65,0.0,0.0,0.0,0.0,55.0,6238.65,55.0,6238.65,0.0,0.0,0.0,0.0,55.0,6238.65
Изготовление металлической цифры 1,40,4298.4,105.36,85.0,9134.1,0.0,0.0,45.0,4835.7,40.0,4298.4,02-000000002579,шт,40.0,4298.4,0.0,0.0,0.0,0.0,40.0,4298.4,40.0,4298.4,0.0,0.0,0.0,0.0,40.0,4298.4,40.0,4298.4,0.0,0.0,0.0,0.0,40.0,4298.4
Изготовление металлической цифры 2,15,1701.45,105.36,15.0,1701.45,0.0,0.0,0.0,0.0,15.0,1701.45,02-000000002580,шт,15.0,1701.45,0.0,0.0,0.0,0.0,15.0,1701.45,15.0,1701.45,0.0,0.0,0.0,0.0,15.0,1701.45,15.0,1701.45,0.0,0.0,0.0,0.0,15.0,1701.45
Изготовление металлической цифры 3,15,1701.45,105.36,15.0,1701.45,0.0,0.0,0.0,0.0,15.0,1701.45,02-000000002581,шт,15.0,1701.45,0.0,0.0,0.0,0.0,15.0,1701.45,15.0,1701.45,0.0,0.0,0.0,0.0,15.0,1701.45,15.0,1701.45,0.0,0.0,0.0,0.0,15.0,1701.45
Изготовление металлической цифры 4,15,1999.95,105.36,15.0,1999.95,0.0,0.0,0.0,0.0,15.0,1999.95,02-000000002582,шт,15.0,1999.95,0.0,0.0,0.0,0.0,15.0,1999.95,15.0,1999.95,0.0,0.0,0.0,0.0,15.0,1999.95,15.0,1999.95,0.0,0.0,0.0,0.0,15.0,1999.95
Изготовление металлической цифры 6,15,1701.45,105.36,15.0,1701.45,0.0,0.0,0.0,0.0,15.0,1701.45,02-000000002583,шт,15.0,1701.45,0.0,0.0,0.0,0.0,15.0,1701.45,15.0,1701.45,0.0,0.0,0.0,0.0,15.0,1701.45,15.0,1701.45,0.0,0.0,0.0,0.0,15.0,1701.45
Изготовление металлической цифры 9,15,1701.45,105.36,15.0,1701.45,0.0,0.0,0.0,0.0,15.0,1701.45,02-000000002584,шт,15.0,1701.45,0.0,0.0,0.0,0.0,15.0,1701.45,15.0,1701.45,0.0,0.0,0.0,0.0,15.0,1701.45,15.0,1701.45,0.0,0.0,0.0,0.0,15.0,1701.45
Изолента,14,584.5,105.36,15.0,626.25,0.0,0.0,0.0,0.0,15.0,626.25,02-000000001378,рул,15.0,626.25,0.0,0.0,0.0,0.0,15.0,626.25,15.0,626.25,0.0,0.0,0.0,0.0,15.0,626.25,15.0,626.25,0.0,0.0,1.0,41.75,14.0,584.5
Источник постоянного тока АКИП1104,1,0.0,101.36,1.0,19500.0,0.0,0.0,0.0,0.0,1.0,19500.0,02-0000000017,ед,1.0,19500.0,0.0,0.0,0.0,0.0,1.0,19500.0,1.0,19500.0,0.0,0.0,0.0,0.0,1.0,19500.0,1.0,19500.0,0.0,0.0,0.0,0.0,1.0,19500.0
Кабель ВВГ нгLS32,210,12274.5,105.36,220.0,12859.0,0.0,0.0,0.0,0.0,220.0,12859.0,02-000000001377,шт,220.0,12859.0,0.0,0.0,0.0,0.0,220.0,12859.0,220.0,12859.0,0.0,0.0,0.0,0.0,220.0,12859.0,220.0,12859.0,0.0,0.0,10.0,584.5,210.0,12274.5
Кабельканал с двойным замком белый 2516,55,2585.0,105.36,58.0,2726.0,0.0,0.0,0.0,0.0,58.0,2726.0,02-000000001338,шт,58.0,2726.0,0.0,0.0,0.0,0.0,58.0,2726.0,58.0,2726.0,0.0,0.0,0.0,0.0,58.0,2726.0,58.0,2726.0,0.0,0.0,3.0,141.0,55.0,2585.0
Камера видеонаблюдения R ViIPC32MSIR V2 28 мм,1,9020.0,21.34,1.0,9020.0,0.0,0.0,0.0,0.0,1.0,9020.0,02-0000000017,ед,1.0,9020.0,0.0,0.0,0.0,0.0,1.0,9020.0,1.0,9020.0,0.0,0.0,0.0,0.0,1.0,9020.0,1.0,9020.0,0.0,0.0,0.0,0.0,1.0,9020.0
Карманный термоанемометр стиккласса TESTO 405,1,6385.5,21.34,1.0,6385.5,0.0,0.0,0.0,0.0,1.0,6385.5,02-0000000017,ед,1.0,6385.5,0.0,0.0,0.0,0.0,1.0,6385.5,1.0,6385.5,0.0,0.0,0.0,0.0,1.0,6385.5,1.0,6385.5,0.0,0.0,0.0,0.0,1.0,6385.5
Картотека ПРАКТИК AFC 04 шкаф 4 секцион А4FC,3,0.0,101.36,3.0,32326.98,0.0,0.0,0.0,0.0,3.0,32326.98,02-0000000017,ед,3.0,32326.98,0.0,0.0,0.0,0.0,3.0,32326.98,3.0,32326.98,0.0,0.0,0.0,0.0,3.0,32326.98,3.0,32326.98,0.0,0.0,0.0,0.0,3.0,32326.98
Кисть малярная плоская ширина 50,14,701.4,105.36,16.0,801.6,0.0,0.0,0.0,0.0,16.0,801.6,02-000000001366,шт,16.0,801.6,0.0,0.0,0.0,0.0,16.0,801.6,16.0,801.6,0.0,0.0,0.0,0.0,16.0,801.6,16.0,801.6,0.0,0.0,2.0,100.2,14.0,701.4
Клей МОМЕНТ Супер Гель,3,292.5,105.36,14.0,1365.0,0.0,0.0,4.0,390.0,10.0,975.0,02-000000002160,шт,10.0,975.0,0.0,0.0,0.0,0.0,10.0,975.0,10.0,975.0,0.0,0.0,2.0,195.0,8.0,780.0,8.0,780.0,0.0,0.0,5.0,487.5,3.0,292.5
Клей Момент Столяр Экспресс,2,820.8,105.34,0.0,0.0,2.0,820.8,0.0,0.0,2.0,820.8,02-000000002970,шт,2.0,820.8,0.0,0.0,0.0,0.0,2.0,820.8,2.0,820.8,0.0,0.0,0.0,0.0,2.0,820.8,2.0,820.8,0.0,0.0,0.0,0.0,2.0,820.8
Клей ПВА TYTAN PROFESSIONAL WB 33D3 для древесины,3,2397.6,105.34,0.0,0.0,3.0,2397.6,0.0,0.0,3.0,2397.6,02-000000002971,шт,3.0,2397.6,0.0,0.0,0.0,0.0,3.0,2397.6,3.0,2397.6,0.0,0.0,0.0,0.0,3.0,2397.6,3.0,2397.6,0.0,0.0,0.0,0.0,3.0,2397.6
Клещи переставные 250мм,2,835.0,105.36,2.0,835.0,0.0,0.0,0.0,0.0,2.0,835.0,02-000000001357,шт,2.0,835.0,0.0,0.0,0.0,0.0,2.0,835.0,2.0,835.0,0.0,0.0,0.0,0.0,2.0,835.0,2.0,835.0,0.0,0.0,0.0,0.0,2.0,835.0
Ключ разводной 888 6833208 8,1,250.5,105.36,1.0,250.5,0.0,0.0,0.0,0.0,1.0,250.5,02-000000001355,шт,1.0,250.5,0.0,0.0,0.0,0.0,1.0,250.5,1.0,250.5,0.0,0.0,0.0,0.0,1.0,250.5,1.0,250.5,0.0,0.0,0.0,0.0,1.0,250.5
Ключ разводной 888 6833210 10,2,668.0,105.36,2.0,668.0,0.0,0.0,0.0,0.0,2.0,668.0,02-000000001356,шт,2.0,668.0,0.0,0.0,0.0,0.0,2.0,668.0,2.0,668.0,0.0,0.0,0.0,0.0,2.0,668.0,2.0,668.0,0.0,0.0,0.0,0.0,2.0,668.0
