Name,Params,Price,Category,KPGZ Code,KPGZ,SPGZ Code,SPGZ
Установка системы СКУД,"['Монтаж и конфигурирование контроллера', 'Монтаж контроллера', 'Монтаж считывателей', 'Монтаж считывателя карт', 'Вид работ']",NULL,Монтаж оборудования систем охранной сигнализации,02.12.03.09,МОНТАЖ ОБОРУДОВАНИЯ СИСТЕМ ОХРАННОЙ СИГНАЛИЗАЦИИ,NULL,NULL
Подписка на периодические печатные издания,"['Комплект', 'Страна', 'Журнал', 'Периодическое издание']",52307.50,Обеспечение периодическими изданиями,03.12.05.04,ОБЕСПЕЧЕНИЕ ПЕРИОДИЧЕСКИМИ ИЗДАНИЯМИ,NULL,NULL
Предоставление доступа к информационному ресурсу СПАРК (4 доступа),"['Информация по юридическим лицам и индивидуальным предпринимателях, зарегистрированных на территории российской федерации и других стран, указанных на сайте ресурса', 'Кол-во подключение к информационному ресурсу', 'Место предоставления доступа к информационному ресурсу спарк', 'Наличие свидетельства о регистрации средства массовой информации - сетевое издание']",NULL,Услуги информационных агентств,03.15.06,УСЛУГИ ИНФОРМАЦИОННЫХ АГЕНТСТВ,NULL,NULL
Оказание услуг по повышению квалификации по теме: «О контрактной системе в сфере закупок»,"['Наименование программы повышения квалификации', 'Форма обучения', 'Категория обучающихся', 'Цель обучения', 'Результат обучения', 'Количество часов обучения', 'Количество дней обучения', 'Количество слушателей в диапазоне']",NULL,Повышение профессиональной квалификации,03.03.14.01,ПОВЫШЕНИЕ ПРОФЕССИОНАЛЬНОЙ КВАЛИФИКАЦИИ,NULL,NULL
"Установка оконных блоков административных зданий, м2","['Вывоз мусора', 'Выезд замерщика', 'Демонтаж окон', 'Доставка до обьекта', 'Установка новых оконных блоков', 'Вид работ']",NULL,"Ремонт текущий нежилых зданий, помещений и сооружений, кроме линейных объектов...",02.06.01.03,"РЕМОНТ ТЕКУЩИЙ НЕЖИЛЫХ ЗДАНИЙ, ПОМЕЩЕНИЙ И СООРУЖЕНИЙ, КРОМЕ ЛИНЕЙНЫХ ОБЪЕКТОВ",NULL,NULL
Оценка имущественных комплексов,"['Оценка нежилых зданий и помещений', 'Соответствие ФСО-1', 'Соответствие ФСО-3', 'Срок оказания услуг']",NULL,Оценка имущественных комплексов,03.23.05,ОЦЕНКА ИМУЩЕСТВЕННЫХ КОМПЛЕКСОВ,NULL,NULL
Утилизация оборудования,"['Вид объекта утилизации', 'Вывоз отходов осуществляется по заявке Заказчика', 'Вывоз отходов осуществляется спецтранспортом исполнителя', 'Исполнитель имеет лицензию на транспортирование отходов 1-4 классов опасности', 'Наличие лицензии', 'Обезвреживание отходов', 'Сбор отходов', 'Транспортировка отходов', 'Транспортные услуги', 'Услуга']",NULL,Услуги по обращению с прочими отходами,03.08.03.01.02.99,УСЛУГИ ПО ОБРАЩЕНИЮ С ПРОЧИМИ ОТХОДАМИ,NULL,NULL
"Термотрансферные этикетки полипропилен ,58х40мм, 700 этикеток в рул.","['Вес', 'Материал', 'Страна производитель', 'Внутренний диаметр втулки', 'Рулонов в упаковке', 'Препринт', 'Этикеток в рулоне', 'Ширина этикетки, мм', 'Высота этикетки, мм']",NULL,"Расходные материалы и комплектующие для принтеров, печатающих не на бумаге",01.13.13.01.04,"РАСХОДНЫЕ МАТЕРИАЛЫ И КОМПЛЕКТУЮЩИЕ ДЛЯ ПРИНТЕРОВ, ПЕЧАТАЮЩИХ НЕ НА БУМАГЕ",NULL,NULL
Спрей для удаления этикеток 3590 Avery 150 мл,"['Схема вложения', 'Тип средства', 'Объем флакона', 'Страна происхождения']",NULL,"Оборудование для работы со штрих-кодами, радиометками и этикетками",01.13.11.04,"ОБОРУДОВАНИЕ ДЛЯ РАБОТЫ СО ШТРИХ-КОДАМИ, РАДИОМЕТКАМИ И ЭТИКЕТКАМИ",NULL,NULL
Специальная оценка условий труда в соответствии 426-ФЗ,"['Выдача протокола', 'Выезд специалиста', 'Отбор проб', 'Выдача акта выполненных работ']",NULL,"Оценка соответствия, аттестация санитарно-эпидемиологическим нормам",03.30.05.01,"""ОЦЕНКА СООТВЕТСТВИЯ, АТТЕСТАЦИЯ САНИТАРНО-ЭПИДЕМИОЛОГИЧЕСКИМ НОРМАМ""",NULL,NULL
Техническое обслуживание зданий и помещений,"['Вид обслуживания', 'Техническое обслуживание системы отопления', 'Техническое обслуживание электрооборудования здания', 'Техническое обслуживание системы водоснабжения и водоотведения']",NULL,Обслуживание техническое и текущий ремонт нежилых помещений и зданий,03.07.01.01.02,ОБСЛУЖИВАНИЕ ТЕХНИЧЕСКОЕ И ТЕКУЩИЙ РЕМОНТ НЕЖИЛЫХ ПОМЕЩЕНИЙ И ЗДАНИЙ,NULL,NULL
Кабель-канал с двойным замком белый 25х16,"['Высота', 'Диапазон рабочих температур', 'Материал', 'Тип замка', 'Цвет', 'Ширина']",NULL,Кабель-каналы,01.11.04.03.02.05.03,КАБЕЛЬ-КАНАЛЫ,NULL,NULL
ДЕЗИНФИЦИРУЮЩИЙ ГЕЛЬ ДЛЯ РУК MERIDA HARMONY-U,"['Вес/объем', 'Вид', 'Действующие вещества', 'Количество в упаковке', 'Описание', 'Состав:']",NULL,СРЕДСТВО ДЕЗИНФИЦИРУЮЩЕЕ ДЛЯ МЕДИЦИНСКИХ УЧРЕЖДЕНИЙ,01.02.10.55.01,СРЕДСТВО ДЕЗИНФИЦИРУЮЩЕЕ ДЛЯ МЕДИЦИНСКИХ УЧРЕЖДЕНИЙ,NULL,NULL
"Ключ разводной 888 6833210 10"", с обрезиненной рукояткой","['Вес', 'Длина', 'Материал ключа', 'Расстояние между губками в открытом состоянии', 'Страна-производитель']",NULL,Ключи гаечные разводные,01.11.02.02.07.01.01,КЛЮЧИ ГАЕЧНЫЕ РАЗВОДНЫЕ,NULL,NULL
"Ящик для инструментов «Гефест», 21"", 28?53?29 см, 3 бокса для мелочей, 2 выдвижные консоли, IDEA","['Выдвижные консоли', 'Бокса для мелочей', 'Вес с упаковкой', 'Материал изготовления', 'Размер изделия']",NULL,Емкости для инструментов,01.11.02.08.01,ЕМКОСТИ ДЛЯ ИНСТРУМЕНТОВ,NULL,NULL
Растворитель 646,"['Вид', 'Область применения', 'Объем', 'Упаковка', 'Цвет', 'Торговая марка', 'Виды материалов лакокрасочных, покрытий наносимых (кроме огнезащитных)', 'Виды материалов расходных инженерно-строительных', 'Вид продукции', 'Вид товаров', 'Виды товаров строительных']",272.67,Растворители (разбавители),01.11.03.05.02,РАСТВОРИТЕЛИ (РАЗБАВИТЕЛИ),NULL,NULL
Шуруп-крюк (HS) 6х60,"['Диаметр', 'Длина', 'Материал', 'Тип']",NULL,"Метизы, крепежные изделия прочие",01.11.03.01.01.99,"МЕТИЗЫ, КРЕПЕЖНЫЕ ИЗДЕЛИЯ ПРОЧИЕ",NULL,NULL
Очиститель,"['Срок хранения', 'Область применения', 'Страна производства', 'Упаковка', 'Объем']",NULL,Растворители (разбавители),01.11.03.05.02,РАСТВОРИТЕЛИ (РАЗБАВИТЕЛИ),NULL,NULL
"Тонкогубцы ЗУБР ""ЭКСПЕРТ"", 160мм 2201-3-16","['Материал рукоятки', 'Назначение', 'Особенности', 'Покрытие', 'Размер изделия', 'Тип изделия']",NULL,Инструмент ручной прочий,01.11.02.02.99,ИНСТРУМЕНТ РУЧНОЙ ПРОЧИЙ,NULL,NULL
"Ключ разводной 888 6833208 8"", с обрезиненной рукояткой","['Вес', 'Длина', 'Размер под гайку и болт', 'Расстояние между губками в открытом состоянии', 'Страна-производитель']",NULL,Ключи гаечные разводные,01.11.02.02.07.01.01,КЛЮЧИ ГАЕЧНЫЕ РАЗВОДНЫЕ,NULL,NULL
"Уровень 60см, STAYER PROSTABIL (3471-060_z01)","['Вес', 'Длина', 'Количество глазков', 'Пузырьковый уровень', 'Страна производства', 'Точность измерения']",780.00,Инструмент мерительный ручной,01.11.02.03.02,ИНСТРУМЕНТ МЕРИТЕЛЬНЫЙ РУЧНОЙ,NULL,NULL
"Набор ключей имбусовых 1,5-10 мм никель","['Диаметр', 'Вид упаковки', 'Количество предметов в комплекте', 'Материал изделия', 'Страна производства', 'Тип']",NULL,Ключи для винтов с внутренним шестигранником,01.11.02.02.07.01.07,КЛЮЧИ ДЛЯ ВИНТОВ С ВНУТРЕННИМ ШЕСТИГРАННИКОМ,NULL,NULL
Уголок крепежный усиленный 50x50x35x2 мм,"['Усиленный', 'Угол', 'Длина', 'Оцинкованный', 'Толщина', 'Ширина']",NULL,Металлоизделия готовые прочие,01.11.03.01.99,МЕТАЛЛОИЗДЕЛИЯ ГОТОВЫЕ ПРОЧИЕ,NULL,NULL
Перфоратор Makita HR2630,"['Габариты', 'Тип хвостовика', 'Количество режимов работы', 'Максимальный диаметр сверления буром (бетон)', 'Максимальный диаметр сверления коронкой (бетон)', 'Мощность', 'Страна изготовитель', 'Частота вращения шпинделя']",NULL,Перфораторы,01.11.02.01.01,ПЕРФОРАТОРЫ,NULL,NULL
Шлифмашина угловая Зубр УШМ-125-1100,"['Блокировка шпинделя при заклинивании диска', 'Вес', 'Гарантийный срок', 'Диаметр диска', 'Количество оборотов', 'Конструктивные особенности', 'Мощность', 'Назначение', 'Тип']",NULL,Шлифмашины,01.11.02.01.08.03,ШЛИФМАШИНЫ,NULL,NULL
"Кабель ВВГнг-LS 3х2,5","['Страна производитель', 'Количество жил', 'Сечение', 'Материал жил']",NULL,Кабель силовой с пластмассовой изоляцией низкого напряжения,01.11.04.03.02.01.07,КАБЕЛЬ СИЛОВОЙ С ПЛАСТМАССОВОЙ ИЗОЛЯЦИЕЙ НИЗКОГО НАПРЯЖЕНИЯ,NULL,NULL
Набор бит для шуруповерта ЗУБР МАСТЕР 25425-H37,"['Вид', 'Внешний шестигранник', 'Количество бит', 'Количество в наборе', 'Тип свёрл', 'Хвостовик']",NULL,Биты для шуруповертов,01.11.02.09.03,БИТЫ ДЛЯ ШУРУПОВЕРТОВ,NULL,NULL
Изолента,"['Длина', 'Изоляционная', 'Материал', 'Цвет', 'Ширина']",70.00,Ленты технические с липким слоем,01.11.03.09.04.03,ЛЕНТЫ ТЕХНИЧЕСКИЕ С ЛИПКИМ СЛОЕМ,NULL,NULL
Усиленные прямые ножницы по металлу 255мм GROSS PIRANHA,"['Длина ножниц', 'Материал лезвий', 'Толщина перерезаемого металла']",NULL,Инструмент ручной прочий,01.11.02.02.99,ИНСТРУМЕНТ РУЧНОЙ ПРОЧИЙ,NULL,NULL
Силиконовая смазка 400 мл Akfix YA14,"['Вид смазки', 'Форма выпуска', 'Состав', 'Назначение', 'Область применения', 'Объем']",NULL,Материалы строительные прочие,01.11.03.99,МАТЕРИАЛЫ СТРОИТЕЛЬНЫЕ ПРОЧИЕ,NULL,NULL
Пистолет для пены,"['Применение', 'Масса', 'Материал корпуса', 'Усиленный', 'Объем картриджа (тубы)']",975.00,Инструмент ручной прочий,01.11.02.02.99,ИНСТРУМЕНТ РУЧНОЙ ПРОЧИЙ,NULL,NULL
Лента-фум Valtec VT.PTFE.0.121020 74786,"['Длина', 'Материал', 'Назначение', 'Тип', 'Толщина', 'Цвет', 'Ширина']",NULL,Фурнитура для инсталляций сантехнических,01.11.01.04.11.01,ФУРНИТУРА ДЛЯ ИНСТАЛЛЯЦИЙ САНТЕХНИЧЕСКИХ,NULL,NULL
"Пленка укрывная 2,7 м х 20 м, с малярной лентой (для крепления к поверхности), полиэтилен, UNIBOB","['Длина', 'Ширина', 'С малярной лентой', 'Упаковка', 'Толщина', 'Вес', 'Масса', 'Материал']",990.00,Материалы и конструкции строительные из полимерных материалов (кроме труб) прочие,01.11.05.06.99,МАТЕРИАЛЫ И КОНСТРУКЦИИ СТРОИТЕЛЬНЫЕ ИЗ ПОЛИМЕРНЫХ МАТЕРИАЛОВ (КРОМЕ ТРУБ) ПРОЧИЕ,NULL,NULL
"Набор комбинированных гаечных ключей 12 шт, 6 - 22 мм KRAFTOOL 27079-H12_z01","['Артикул производителя', 'Вес', 'Количество в упаковке', 'Материал изделия', 'Покрытие', 'Размер max', 'Размер, мин', 'Комплектация']",NULL,Ключи гаечные комбинированные,01.11.02.02.07.01.04,КЛЮЧИ ГАЕЧНЫЕ КОМБИНИРОВАННЫЕ,NULL,NULL
Мультиметр цифровой РЕСАНТА DT 832,"['Сопротивление', 'Ток', 'Постоянное напряжение', 'Переменное напряжение', 'Постоянное напряжение', 'Диапазон тока', 'Диапазон измерения сопротивления', 'Артикул', 'Переменное напряжение']",549.00,Мультиметр,01.11.02.03.12,МУЛЬТИМЕТР,NULL,NULL
"Сверло спиральное HSS 6,0x93mm ""MP10","['Тип хвостовика', 'Вид строительный расходный материал', 'Диаметр сверла', 'Длина:', ' Материал изготовления']",NULL,Сверла прочие,01.11.02.09.01.01.04,СВЕРЛА ПРОЧИЕ,NULL,NULL
Плоскогубцы диэлектрические ЗУБР ЭЛЕКТРИК 2214-1-18 180 мм,"['Диэлектрическое покрытие', 'Длина', 'Материал', 'Назначение', 'Покрытие', 'Ручки']",NULL,Плоскогубцы,01.11.02.02.03.01,ПЛОСКОГУБЦЫ,NULL,NULL
"Шуруповерт аккумуляторный Metabo ""BS 18"". 602207500","['Вес', 'Ширина упаковки', 'Высота упаковки', 'Глубина упаковки', 'Тип инструмента', 'Максимальные обороты на 1ой скорости', 'Максимальные обороты на 2ой скорости', 'Режимы работы', 'Максимальный диаметр зажима патрона', 'Макс. диаметр отверстия в стали', 'Макс. диаметр отверстия в дереве', 'Акб в комплекте', 'Максимальный крутящий момент (Нм)', 'Питание', 'Цвет']",NULL,Шуруповерты электрические,01.11.02.01.03,ШУРУПОВЕРТЫ ЭЛЕКТРИЧЕСКИЕ,NULL,NULL
Полотно по металлу для ножовки 300мм,"['Вес', 'Длина', 'Материал', 'Назначение', 'Шаг', 'Ширина', 'Ширина паза']",NULL,Рабочие органы сменные прочие,01.11.02.09.99,РАБОЧИЕ ОРГАНЫ СМЕННЫЕ ПРОЧИЕ,NULL,NULL
Сверло по кафелю и стеклу Курс 35454 6мм,"['Вид упаковки', 'Диапазон диаметров', ' Материал изготовления', 'Вид покрытия сверла']",NULL,Сверла прочие,01.11.02.09.01.01.04,СВЕРЛА ПРОЧИЕ,NULL,NULL
"Молоток слесарный СПАРТА 1/6, 400гр","['Масса молотка', 'Вес бойка', 'Материал головы', 'Материал ручки', 'Назначение', 'Общая длина', 'Форма бойка']",NULL,Молотки,01.11.02.02.03.15,МОЛОТКИ,NULL,NULL
Кисть малярная плоская ширина 50,"['Материал бандажа', 'Материал волокна', 'Материал рукоятки', 'Тип кисти', 'Ширина']",NULL,Кисти и щетки малярные,01.11.02.02.04.02,КИСТИ И ЩЕТКИ МАЛЯРНЫЕ,NULL,NULL
Бур 12х560,"['Диаметр', 'Общая длина', 'Рабочая длина', 'Тип хвостовика']",NULL,Буры для перфоратора,01.11.02.09.01.02,БУРЫ ДЛЯ ПЕРФОРАТОРА,NULL,NULL
Сверло по металлу Dexter Pro HSS-Co 4.5х80мм,"['Вид строительный расходный материал', 'Диаметр', 'Длина:', ' Материал изготовления', 'Обрабатываемая поверхность']",NULL,Сверла прочие,01.11.02.09.01.01.04,СВЕРЛА ПРОЧИЕ,NULL,NULL
Сверло по металлу GROSS HSS-CO 3.5х70х39мм,"['Диаметр сверла', ' Материал изготовления', 'Обрабатываемая поверхность', 'Длина рабочей части', 'Тип сверла', 'Заточка']",NULL,Сверла прочие,01.11.02.09.01.01.04,СВЕРЛА ПРОЧИЕ,NULL,NULL
Клещи переставные STAYER STANDARD 22035-10-25 250мм,"['Вес', 'Вид', 'Общая длина', 'Материал', 'Покрытие']",NULL,Клещи,01.11.02.02.03.06,КЛЕЩИ,NULL,NULL
Саморезы универсальные  оцинкованные 6х80,"['Диаметр', 'Длина', 'Оцинкованный', 'Тип головки']",NULL,"Метизы, крепежные изделия прочие",01.11.03.01.01.99,"МЕТИЗЫ, КРЕПЕЖНЫЕ ИЗДЕЛИЯ ПРОЧИЕ",NULL,NULL
"Бокорезы ЗУБР ""МАСТЕР"" ""ЭЛЕКТРИК"" 2214-5-16_z02, 160мм","['Диэлектрическое покрытие рукояти', 'Длина', 'Материал', 'Назначение', 'Покрытие', 'Вес']",NULL,Кусачки,01.11.02.02.03.05,КУСАЧКИ,NULL,NULL
Ванночка для краски,"['Вес', 'Высота', 'Длина', 'Материал', 'Тип изделия', 'Ширина']",NULL,Инструмент ручной прочий,01.11.02.02.99,ИНСТРУМЕНТ РУЧНОЙ ПРОЧИЙ,NULL,NULL
"Стяжка межсекционная «мама», M6 X 30","['Диаметр', 'Длина', 'Материал', 'Назначение', 'Цвет']",11.25,"Метизы, крепежные изделия прочие",01.11.03.01.01.99,"МЕТИЗЫ, КРЕПЕЖНЫЕ ИЗДЕЛИЯ ПРОЧИЕ",NULL,NULL
Дюбель 8*60,"['Вид', 'Диаметр', 'Длина', 'Материал', 'Цвет']",NULL,"Метизы, крепежные изделия прочие",01.11.03.01.01.99,"МЕТИЗЫ, КРЕПЕЖНЫЕ ИЗДЕЛИЯ ПРОЧИЕ",NULL,NULL
"Стриппер ЗУБР ""ПРОФИ"" 22668-23","['Вес брутто', 'Длина', 'Материал корпуса', 'Материал лезвия', 'Материал рукоятки', 'Назначение', 'Особенности']",NULL,Инструмент ручной прочий,01.11.02.02.99,ИНСТРУМЕНТ РУЧНОЙ ПРОЧИЙ,NULL,NULL
"Саморез с пресс-шайбой ""сверло""","['Вид', 'Длина', 'Материал', 'Наконечник']",NULL,"Метизы, крепежные изделия прочие",01.11.03.01.01.99,"МЕТИЗЫ, КРЕПЕЖНЫЕ ИЗДЕЛИЯ ПРОЧИЕ",NULL,NULL
Пистолет для герметика Inforce,"['Масса', 'Материал корпуса', 'Тип товара', 'Длина', 'Объем баллона']",1200.00,Инструмент ручной прочий,01.11.02.02.99,ИНСТРУМЕНТ РУЧНОЙ ПРОЧИЙ,NULL,NULL
Сверло по металлу Makita D-09684 HSS 3х61мм,"['Обрабатываемая поверхность', 'Страна производитель']",NULL,Сверла прочие,01.11.02.09.01.01.04,СВЕРЛА ПРОЧИЕ,NULL,NULL
Валик малярный с ручкой 250 мм,"['Длина', 'Длина щетины', 'Материал щетины', 'Страна происхождения']",NULL,Инструмент ручной прочий,01.11.02.02.99,ИНСТРУМЕНТ РУЧНОЙ ПРОЧИЙ,NULL,NULL
"Дальномер лазерный  CONDTROL XP2, шт","['Цвет луча', 'Гарантийный срок', 'Тип источника питания', 'Вид', 'Масса', 'Высота', 'Ширина', 'Длина', 'Точность измерений', 'Дальность измерения', 'Количество лучей', 'Температурный диапазон', 'Степень защиты', 'Тип выравнивания']",4495.00,Дальномеры лазерные,01.11.02.03.08,ДАЛЬНОМЕРЫ ЛАЗЕРНЫЕ,NULL,NULL
Саморезы универсальные оцинкованные 3.5х30 мм,"['Вес', 'Длина', 'Максимальный диаметр головки', 'Покрытие', 'Форма головки', 'Тип головки']",NULL,"Метизы, крепежные изделия прочие",01.11.03.01.01.99,"МЕТИЗЫ, КРЕПЕЖНЫЕ ИЗДЕЛИЯ ПРОЧИЕ",NULL,NULL
Рулетка 5 м x 25 мм GROSS Ergonomisch (31103),"['Магнитный зацеп', 'Длина номинальная', 'Габариты', 'Вес', 'Лента', 'Материал корпуса', 'Назначение', 'Страна производства', 'Тип изделия', 'Ширина']",NULL,Рулетки измерительные,01.11.02.03.23,РУЛЕТКИ ИЗМЕРИТЕЛЬНЫЕ,NULL,NULL
Насадка для шуруповерта Torsion PН2 25мм Diager,"['Тип наконечника', 'Тип биты', 'Хвостовик', 'Длина']",NULL,Биты для шуруповертов,01.11.02.09.03,БИТЫ ДЛЯ ШУРУПОВЕРТОВ,NULL,NULL
Набор буров D.BOR SDS-plus  5-12мм,"['Количество в упаковке', 'Максимальная длина бура.', 'Назначение', 'В наборе', 'Страна производитель']",NULL,Буры для перфоратора,01.11.02.09.01.02,БУРЫ ДЛЯ ПЕРФОРАТОРА,NULL,NULL
Телескопический удлинитель,"['Вес', 'Высота', 'Длина', 'Максимальная длина штанги', 'Материал', 'Назначение', 'Ширина']",NULL,Рабочие органы сменные прочие,01.11.02.09.99,РАБОЧИЕ ОРГАНЫ СМЕННЫЕ ПРОЧИЕ,NULL,NULL
Реализация хранилищ данных SQL,"['Вид образовательной услуги', 'Вид услуги', 'Выдача документа о прохождении обучения', 'Документ, выдающийся в результате успешного завершения обучения', 'Количество академических часов', 'Количество дней', 'Место проведения обучения', 'Наименование программы повышения квалификации', 'Форма обучения']",NULL,Дополнительное обучение,03.03.14.05,ДОПОЛНИТЕЛЬНОЕ ОБУЧЕНИЕ,NULL,NULL
Разработка моделей данных SQL,"['Вид образовательной услуги', 'Вид услуги', 'Выдача документа о прохождении обучения', 'Документ, выдающийся в результате успешного завершения обучения', 'Количество академических часов', 'Количество дней', 'Место проведения обучения', 'Наименование программы повышения квалификации', 'Форма обучения']",NULL,Дополнительное обучение,03.03.14.05,ДОПОЛНИТЕЛЬНОЕ ОБУЧЕНИЕ,NULL,NULL
"Обучение по программе повышения квалификации ""Обновление знаний и навыков для работы с SQL Server 2016""","['Вид образовательной услуги', 'Вид услуги', 'Выдача документа о прохождении обучения', 'Документ, выдающийся в результате успешного завершения обучения', 'Количество академических часов', 'Количество дней', 'Место проведения обучения', 'Наименование программы повышения квалификации', 'Форма обучения']",NULL,Дополнительное обучение,03.03.14.05,ДОПОЛНИТЕЛЬНОЕ ОБУЧЕНИЕ,NULL,NULL
"Корзина офисная 10л пластик, черная Attache","['Антикоррозийное покрытие', 'Вес изделия', 'Вид емкости', 'Внутренний контейнер', 'Высота', 'Высота рекомендуемого мешка', 'Диаметр', 'Крышка', 'Материал', 'Цвет изделия', 'Наличие педали', 'Ширина рекомендуемого мешка', 'Объем рекомендуемого мешка', 'Форма', 'Наличие ручек', 'Назначение', 'Объем', 'Страна производства']",NULL,Контейнеры и другие емкости для мусора пластмассовые,01.20.03.03.06,КОНТЕЙНЕРЫ И ДРУГИЕ ЕМКОСТИ ДЛЯ МУСОРА ПЛАСТМАССОВЫЕ,10414423,"Корзина для бумаг, пластмасса"
Перчатки рабочие трикотажные Комус с ПВХ Протектор 4 нити 10 класс 43 г 10 пар в упаковке,"['Количество в транспортной коробке:', 'Вес', 'Класс вязки', 'Количество нитей', 'Количество пар в упаковке', 'Материал основы', 'Материал покрытия', 'Рисунок нанесения', 'Тип манжеты']",NULL,Перчатки хозяйственные трикотажные,01.20.03.04.04.02.01,ПЕРЧАТКИ ХОЗЯЙСТВЕННЫЕ ТРИКОТАЖНЫЕ,NULL,NULL
Полотно техническое вафельное плот.-145г/м(60мх45см) отбеленное,"['Цвет материала', 'Схема вложения', 'Плотность материала', 'Состав ткани', 'Рулон', 'Вид технической ткани', 'Длина полотна', 'Ширина полотна']",3447.85,Тряпки для уборки,01.20.03.04.05.01,ТРЯПКИ ДЛЯ УБОРКИ,NULL,NULL
Пленка пузырчатая 3-слойная 1.5х50 м,"['Вес', 'Высота пузырька', 'Диаметр пузырька', 'Длина', 'Количество рулонов в упаковке', 'Количество слоев', 'Плотность', 'Страна производитель', 'Цвет', 'Ширина']",NULL,Пленка упаковочная,01.20.07.11.01,ПЛЕНКА УПАКОВОЧНАЯ,NULL,NULL
Контейнер для мусора IDEA Эко 50л,"['Вес', 'Вид емкости', 'Габаритный размер', 'Материал', 'Назначение', 'Наличие крышки', 'Форма', 'Цвет изделия']",2130.18,Контейнеры и другие емкости для мусора пластмассовые,01.20.03.03.06,КОНТЕЙНЕРЫ И ДРУГИЕ ЕМКОСТИ ДЛЯ МУСОРА ПЛАСТМАССОВЫЕ,NULL,NULL
Короб 650х450х450 картон Т23 бурый 10 шт./уп,"['Цвет', 'Количество слоев', 'Размеры (дхшхв)', 'Профиль', 'Страна производитель', 'Марка гофрокартона', 'Артикул']",2504.00,Коробки (короба) из гофрированного материала,01.20.07.11.04.01,КОРОБКИ (КОРОБА) ИЗ ГОФРИРОВАННОГО МАТЕРИАЛА,NULL,NULL
Соединительная клемма 221-413,"['Количество клемм', 'Номинальный ток, а', 'Сечение жил (кв. мм.)', 'Температура эксплуатации', 'Наименование оборудования', 'Вид продукции']",42.00,Соединители проводов электрические,01.11.01.08.02.01,СОЕДИНИТЕЛИ ПРОВОДОВ ЭЛЕКТРИЧЕСКИЕ,NULL,NULL
"Удлинитель 25 м на катушке LUX ПВС 2x0.75, 4 розетки б/з 24025",['NULL'],NULL,Удлинители бытового и аналогичного назначения,01.10.04.04.01,УДЛИНИТЕЛИ БЫТОВОГО И АНАЛОГИЧНОГО НАЗНАЧЕНИЯ,NULL,NULL
Клемма 5-проводная 221-415 (221-415),"['Наименование оборудования', 'Вид продукции', 'Количество клемм', 'Номинальный ток, а', 'Температура эксплуатации', 'Сечение жил']",127.50,Соединители проводов электрические,01.11.01.08.02.01,СОЕДИНИТЕЛИ ПРОВОДОВ ЭЛЕКТРИЧЕСКИЕ,NULL,NULL
Розетка RJ-45,"['Категория', 'Количество портов', 'Тип', 'Цвет']",NULL,Арматура электротехническая прочая,01.11.01.08.02.99,АРМАТУРА ЭЛЕКТРОТЕХНИЧЕСКАЯ ПРОЧАЯ,NULL,NULL
"Отвертка KRAFTOOL реверсив, 43 предм (25556-H43)","['Страна производства', 'Вид упаковки', 'Тип изделия', 'Длина', 'Тип шлица', 'Намагниченный наконечник']",2180.00,Отвертки,01.11.02.02.07.02,ОТВЕРТКИ,NULL,NULL
"НАБОР ОТВЕРТОК ДИЭЛЕКТРИЧЕСКИХ 1000В С ПРОБНИКОМ, 8 ПРЕДМЕТОВ, ПЛАСТИКОВЫЙ КЕЙС, Энкор 19835","['Вид упаковки', 'Высота кейса', 'Длина стержня', 'Количество предметов', 'Материал рукоятки', 'Намагниченный наконечник', 'Отвертки диэлектрические до 1000 в.', 'Тип наконечников', 'Форма рукоятки']",NULL,Отвертки,01.11.02.02.07.02,ОТВЕРТКИ,NULL,NULL
Термогигрометр Testo 605-H1,"['Размеры зонда', 'Вес изделия нетто', 'Габаритные размеры', 'Диапазон измерения температуры', 'Жк-дисплей', 'Материал', 'Погрешность', 'Рабочая температура', 'Разрешение', 'Тип батареи', 'Торговая марка', 'Сенсор влажности', 'Температура хранения']",NULL,Измерители–регистраторы температуры и относительной влажности,01.11.02.03.07,ИЗМЕРИТЕЛИ–РЕГИСТРАТОРЫ ТЕМПЕРАТУРЫ И ОТНОСИТЕЛЬНОЙ ВЛАЖНОСТИ,NULL,NULL
Люксметр-пульсметр Radex LUPIN,"['Вес', 'Габаритные размеры', 'Диапазон измерений:', 'Диапазон рабочих температур', 'Источник питания', 'Подсветка']",NULL,"Инструмент мерительный электронный, оптический и электронно-оптический...",01.11.02.03.01,"ИНСТРУМЕНТ МЕРИТЕЛЬНЫЙ ЭЛЕКТРОННЫЙ, ОПТИЧЕСКИЙ И ЭЛЕКТРОННО-ОПТИЧЕСКИЙ",NULL,NULL
Штангенциркуль 150мм ТОРЕХ 31С615,"['Вид', 'Вес', 'Тип', 'Размер шага', 'Диапазон измерений', 'Длина', 'Класс точности']",NULL,Штангенциркули,01.11.02.03.11,ШТАНГЕНЦИРКУЛИ,NULL,NULL
Термогигрометр Testo 410-2,"['Вес', 'Вес изделия нетто', 'Габаритные размеры', 'Источник питания', 'Тип датчика']",NULL,АНЕМОМЕТРЫ,01.02.11.01.06.03.10,АНЕМОМЕТРЫ,NULL,NULL
